date,time_spended_min,activity_type,specific_1,specific_2,source,if_challenge_score
6/6/2020,90,coding,python tutorial,list,codeacademy,
6/7/2020,60,coding,python tutorial,functions,codeacademy,
6/8/2020,30,coding,python challenge,list,codeacademy,7/10
6/8/2020,35,coding,python tutorial,reading files,codeacademy,
6/8/2020,40,coding,python tutorial,reading files challenge,codeacademy,
6/8/2020,50,coding,python tutorial,numpy,codeacademy,
6/9/2020,210,work,meetings,releases asm,conti,
6/9/2020,100,coding,python tutorial,numpy,codeacademy,
6/9/2020,30,coding,python tutorial,numpy,codeacademy,
6/9/2020,20,coding,python challenge,strings & lists,codewars,7/10
6/10/2020,105,work,asm meetings,releases,conti,
6/10/2020,40,coding,python challenge,lists,edabit,7/10
6/10/2020,40,coding,python tutorial project,numpy,codeacademy,
6/10/2020,35,coding,python tutorial,panda,codeacademy,
6/10/2020,25,coding,python tutorial,panda,codeacademy,
6/10/2020,90,coding,python tutorial,panda,codeacademy,
6/11/2020,180,work,meetings ,cairs & asm apqp,conti,
6/11/2020,50,planing,data scince,path,web,
6/11/2020,40,coding,python tutorial,panda,codeacademy,
6/11/2020,60,coding,python tutorial,panda,codeacademy,
6/12/2020,90,coding,python tutorial,panda,codeacademy,
6/12/2020,90,coding,python tutorial,matplot,codeacademy,
6/12/2020,50,coding,python tutorial,matplot,codeacademy,
6/12/2020,40,coding,python tutorial,matplot,codeacademy,
6/12/2020,68,coding,python tutorial,OOP,datacamp,
6/12/2020,58,coding,python tutorial,OOP & Panda,codeacademy & datacamp,
6/12/2020,35,coding,python tutorial,OOP,datacamp,
6/13/2020,30,coding,python tutorial,matplot,codeacademy,
6/14/2020,75,coding,python tutorial project,panda,codeacademy,
6/14/2020,40,coding,python tutorial,OOP,datacamp,
6/14/2020,15,coding,python,panda,web,
6/14/2020,45,personal,organization development,goals,web,
6/15/2020,60,work,release audit,releases,conti,
6/15/2020,15,work,meetings,honda,conti,
6/15/2020,80,coding,python tutorial,OOP,datacamp,
6/15/2020,60,work,meetings and docu updates,WL,conti,
6/15/2020,60,work,training,intelligent machining ,coursera,
6/15/2020,150,coding,python challenge,OOP,edabit,6/10
6/16/2020,90,work,meetings,honda,conti,
6/16/2020,40,coding,python challenge,panda,kaggle,5/10
6/16/2020,60,coding,python challenge,panda,kaggle,5/10
6/16/2020,45,work,documentation,honda devqa plan,conti,
6/16/2020,70,coding,python tutorial,matplot,codeacademy,
6/16/2020,45,coding,python installing and setting,anaconda,anaconda,
6/16/2020,45,coding,python challenge,OOP,edabit,6/10
6/17/2020,185,work,meetings,fca,conti,
6/17/2020,60,work,training,intelligent machining ,coursera,
6/17/2020,80,coding,python tutorial,OOP,codeacademy,
6/17/2020,40,coding,python challenge,panda,kaggle,5/10
6/18/2020,15,work,psb,honda release,conti,
6/18/2020,60,coding,python challenge,panda series,www.w3resource.com,6/10
6/18/2020,30,work,meetings,open action plans,conti,
6/18/2020,45,coding,python challenge,panda series,www.w3resource.com,6/10
6/18/2020,20,personal,expenses input,,excel,
6/18/2020,120,coding,python project,time log project,time log project,
6/19/2020,40,coding,python project,time log project,time log project,
6/19/2020,20,work,meeting ,fca helium leak,conti,
6/19/2020,30,coding,python project,time log project,time log project,
6/19/2020,30,work, meeting ,honda damper,conti,
6/19/2020,150,coding,python project,time log project,time log project,
6/19/2020,30,coding,python challenge,numpy,www.w3resource.com,8/11
6/19/2020,45,coding,python project,time log project,time log project,
6/20/2020,20,coding,python tutorial,statistics ,,
6/20/2020,110,coding,python project,statistics ,london weather,
6/21/2020,300,coding,python project,statistics ,cpk helium leak test,
6/21/2020,80,coding,python planing ,statistics ,codeacademy analyticsvidhya,
6/22/2020,140,work,meetings  report,fca WL he leak ,conti,
6/22/2020,30,coding,python project,statistics ,cpk helium leak test,
6/22/2020,30,work,reports,release ford,conti,
6/22/2020,90,coding,python tutorial,seaborn,codeacademy,
6/22/2020,30,work,meetings,qmp team,conti,
6/22/2020,90,coding,python tutorial,seaborn,codeacademy,
6/23/2020,72,coding,python project,statistics ,cpk helium leak test,
6/23/2020,240,work,meetings,several,conti,
6/23/2020,90,coding,python project tutorial,ploting,codeacademy,
6/24/2020,150,coding,python tutorial,hypothesis,codeacademy,
6/24/2020,75,coding,python tutorial,hypothesis,codeacademy,
6/24/2020,90,coding,python tutorial,hypothesis,codeacademy,
6/24/2020,240,coding,python project,statistics ,cpk helium leak test,
6/25/2020,120,coding,python project,time log project,time log project,
6/25/2020,60,work,meetings,cuautla he leak,conti,
6/25/2020,110,coding,python project,time log project,time log project,
6/25/2020,75,coding,python challenge,panda,https://www.machinelearningplus.com/python/101-pandas-exercises-python/,7/11
6/25/2020,30,coding,python challenge,panda,kaggle,4/5
6/26/2020,45,work,release audit,honda,conti,